ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP
0,2021-08-13,1800.0,2021-08-06T10:04:00,1628258640,2,933.2
1,2021-08-13,1850.0,2021-08-05T14:59:00,1628189940,1,882.97
2,2021-08-13,1980.0,2021-08-03T15:54:00,1628020440,1,746.2
3,2021-08-13,2000.0,2021-07-27T15:39:00,1627414740,2,731.005
4,2021-08-13,2000.0,2021-07-29T13:45:00,1627580700,1,739.0
5,2021-08-13,2000.0,2021-08-02T10:56:00,1627916160,10,705.3
6,2021-08-13,2160.0,2021-08-06T13:38:00,1628271480,6,575.13
7,2021-08-13,2200.0,2021-07-28T10:42:00,1627483320,2,584.7
8,2021-08-13,2200.0,2021-08-02T12:24:00,1627921440,10,508.381
9,2021-08-13,2210.0,2021-08-06T09:48:00,1628257680,1,530.7
10,2021-08-13,2210.0,2021-08-06T13:08:00,1628269680,1,526.9
11,2021-08-13,2230.0,2021-07-30T12:40:00,1627663200,2,472.8
12,2021-08-13,2250.0,2021-08-02T15:42:00,1627933320,2,461.6
13,2021-08-13,2320.0,2021-07-26T10:56:00,1627311360,3,449.81
14,2021-08-13,2320.0,2021-07-28T12:58:00,1627491480,2,425.25
15,2021-08-13,2330.0,2021-08-06T14:28:00,1628274480,1,404.63
16,2021-08-13,2350.0,2021-08-02T15:43:00,1627933380,1,361.5
17,2021-08-13,2360.0,2021-07-30T14:01:00,1627668060,1,341.67
18,2021-08-13,2380.0,2021-07-23T11:01:00,1627052460,1,357.5
19,2021-08-13,2400.0,2021-08-06T13:53:00,1628272380,8,335.715
20,2021-08-13,2410.0,2021-07-30T09:30:00,1627651800,1,290.3
21,2021-08-13,2420.0,2021-07-30T13:50:00,1627667400,3,284.4
22,2021-08-13,2420.0,2021-08-06T09:36:00,1628256960,8,316.43875
23,2021-08-13,2450.0,2021-08-04T12:07:00,1628093220,2,270.7
24,2021-08-13,2460.0,2021-07-26T10:08:00,1627308480,1,318.4
25,2021-08-13,2460.0,2021-07-30T15:54:00,1627674840,1,246.0
26,2021-08-13,2465.0,2021-08-02T15:42:00,1627933320,1,247.8
27,2021-08-13,2490.0,2021-07-23T09:30:00,1627047000,2,229.1
28,2021-08-13,2490.0,2021-07-23T11:09:00,1627052940,1,250.8
29,2021-08-13,2500.0,2021-07-23T11:09:00,1627052940,1,241.7
30,2021-08-13,2500.0,2021-07-27T10:08:00,1627394880,2,295.0
31,2021-08-13,2500.0,2021-07-27T10:37:00,1627396620,1,265.0
32,2021-08-13,2500.0,2021-07-28T10:10:00,1627481400,1,280.0
33,2021-08-13,2500.0,2021-08-02T15:43:00,1627933380,1,212.6
34,2021-08-13,2500.0,2021-08-04T10:07:00,1628086020,1,215.59
35,2021-08-13,2500.0,2021-08-05T09:55:00,1628171700,1,224.11
36,2021-08-13,2500.0,2021-08-06T12:13:00,1628266380,4,228.5
37,2021-08-13,2500.0,2021-08-06T12:14:00,1628266440,2,226.87
38,2021-08-13,2500.0,2021-08-06T12:27:00,1628267220,1,228.87
39,2021-08-13,2500.0,2021-08-06T12:32:00,1628267520,3,231.85667
40,2021-08-13,2510.0,2021-07-26T09:42:00,1627306920,1,264.45
41,2021-08-13,2510.0,2021-07-26T15:35:00,1627328100,1,280.0
42,2021-08-13,2510.0,2021-07-28T10:23:00,1627482180,1,267.0
43,2021-08-13,2510.0,2021-07-28T11:22:00,1627485720,1,256.6
44,2021-08-13,2510.0,2021-07-29T10:00:00,1627567200,1,223.5
45,2021-08-13,2510.0,2021-07-29T10:11:00,1627567860,2,220.0
46,2021-08-13,2510.0,2021-08-04T14:35:00,1628102100,2,219.8
47,2021-08-13,2510.0,2021-08-05T11:01:00,1628175660,3,225.6
48,2021-08-13,2515.0,2021-07-28T14:31:00,1627497060,1,231.3
49,2021-08-13,2515.0,2021-07-30T11:49:00,1627660140,1,188.1
50,2021-08-13,2520.0,2021-08-02T09:30:00,1627911000,2,195.35
51,2021-08-13,2522.5,2021-08-02T12:03:00,1627920180,1,185.1
52,2021-08-13,2522.5,2021-08-03T09:56:00,1627998960,1,182.0
53,2021-08-13,2525.0,2021-08-02T10:21:00,1627914060,1,186.3
54,2021-08-13,2525.0,2021-08-03T15:37:00,1628019420,1,199.18
55,2021-08-13,2535.0,2021-07-30T13:48:00,1627667280,2,170.23
56,2021-08-13,2540.0,2021-07-26T09:36:00,1627306560,1,229.77
57,2021-08-13,2540.0,2021-07-27T10:50:00,1627397400,1,220.3
58,2021-08-13,2540.0,2021-08-06T09:53:00,1628257980,1,191.8
