ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
0,2020-08-07,20,2020-07-31T09:30:00,1596202200,2,2.6,520
1,2020-08-07,20.5,2020-07-29T11:35:00,1596036900,2,2.97,594
2,2020-08-07,21,2020-07-31T13:04:00,1596215040,3,1.7,510
3,2020-08-07,21,2020-07-31T13:07:00,1596215220,21,1.72,3612
4,2020-08-07,21,2020-07-31T13:18:00,1596215880,20,1.7,3400
5,2020-08-07,21,2020-07-31T13:29:00,1596216540,1,1.67,167
6,2020-08-07,21,2020-07-31T14:56:00,1596221760,10,1.77,1770
7,2020-08-07,21.5,2020-07-31T12:53:00,1596214380,15,1.31,1965
8,2020-08-07,22,2020-07-29T09:32:00,1596029520,1,1.55,155
9,2020-08-07,22,2020-07-31T10:50:00,1596207000,5,0.83,415
10,2020-08-07,22,2020-07-31T12:46:00,1596213960,1,0.8,80
11,2020-08-07,22,2020-07-31T12:47:00,1596214020,4,0.87,348
12,2020-08-07,22,2020-07-31T12:48:00,1596214080,1,0.84,84
13,2020-08-07,22,2020-07-31T12:49:00,1596214140,6,0.865,519
14,2020-08-07,22,2020-07-31T12:51:00,1596214260,65,0.9415385,6120
15,2020-08-07,22,2020-07-31T12:52:00,1596214320,55,0.9014545,4958
16,2020-08-07,22,2020-07-31T12:56:00,1596214560,1,0.98,98
17,2020-08-07,22,2020-07-31T12:57:00,1596214620,12,0.92,1104
18,2020-08-07,22,2020-07-31T12:58:00,1596214680,60,0.92,5520
19,2020-08-07,22,2020-07-31T13:09:00,1596215340,20,1.05,2100
20,2020-08-07,22,2020-07-31T13:14:00,1596215640,3,0.95,285
21,2020-08-07,22,2020-07-31T13:22:00,1596216120,2,0.92,184
22,2020-08-07,22,2020-07-31T13:39:00,1596217140,5,0.92,460
23,2020-08-07,22,2020-07-31T13:41:00,1596217260,2,0.945,189
24,2020-08-07,22,2020-07-31T13:46:00,1596217560,3,0.93,279
25,2020-08-07,22,2020-07-31T13:57:00,1596218220,4,0.95,380
26,2020-08-07,22,2020-07-31T14:03:00,1596218580,5,0.95,475
27,2020-08-07,22,2020-07-31T14:05:00,1596218700,2,0.96,192
28,2020-08-07,22,2020-07-31T14:06:00,1596218760,3,0.97,291
29,2020-08-07,22,2020-07-31T14:08:00,1596218880,7,0.97,679
30,2020-08-07,22,2020-07-31T14:12:00,1596219120,10,0.97,970
31,2020-08-07,22,2020-07-31T14:17:00,1596219420,20,0.95,1900
32,2020-08-07,22,2020-07-31T14:23:00,1596219780,1,0.95,95
33,2020-08-07,22,2020-07-31T14:25:00,1596219900,1,0.97,97
34,2020-08-07,22,2020-07-31T14:34:00,1596220440,2,0.95,190
35,2020-08-07,22,2020-07-31T14:39:00,1596220740,1,1,100
36,2020-08-07,22,2020-07-31T14:54:00,1596221640,8,0.99,792
37,2020-08-07,22,2020-07-31T15:25:00,1596223500,1,1,100
38,2020-08-07,22,2020-07-31T15:27:00,1596223620,1,1,100
39,2020-08-07,22,2020-07-31T15:28:00,1596223680,1,1.01,101
40,2020-08-07,22,2020-07-31T15:30:00,1596223800,3,0.99,297
41,2020-08-07,22,2020-07-31T15:43:00,1596224580,1,0.99,99
42,2020-08-07,22.5,2020-07-30T09:57:00,1596117420,10,0.62,620
43,2020-08-07,22.5,2020-07-30T10:18:00,1596118680,16,0.57,912
44,2020-08-07,22.5,2020-07-30T11:18:00,1596122280,4,0.55,220
45,2020-08-07,22.5,2020-07-31T11:34:00,1596209640,1,0.51,51
46,2020-08-07,22.5,2020-07-31T12:02:00,1596211320,10,0.49,490
47,2020-08-07,22.5,2020-07-31T12:46:00,1596213960,10,0.527,527
48,2020-08-07,22.5,2020-07-31T12:47:00,1596214020,33,0.6148485,2029
49,2020-08-07,22.5,2020-07-31T12:48:00,1596214080,107,0.5849533,6259
50,2020-08-07,22.5,2020-07-31T12:49:00,1596214140,58,0.6015517,3489
