ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotalCost
0,2020-09-11,6.5,2020-07-31T12:50:00,1596214200,8,1.02,816
1,2020-09-11,6.5,2020-07-31T12:51:00,1596214260,46,1.0180435,4683
2,2020-09-11,6.5,2020-08-04T10:25:00,1596551100,6,0.95,570
3,2020-09-11,7,2020-08-04T10:23:00,1596550980,20,0.55,1100
4,2020-09-11,7,2020-08-04T10:39:00,1596551940,5,0.51,255
5,2020-09-11,7,2020-08-04T11:12:00,1596553920,2,0.57,114
6,2020-09-11,7.5,2020-07-30T12:19:00,1596125940,1,0.31,31
7,2020-09-11,7.5,2020-07-30T15:28:00,1596137280,1,0.37,37
8,2020-09-11,7.5,2020-07-31T13:55:00,1596218100,11,0.32,352
9,2020-09-11,7.5,2020-07-31T14:56:00,1596221760,10,0.357,357
10,2020-09-11,7.5,2020-08-03T09:52:00,1596462720,10,0.28,280
11,2020-09-11,7.5,2020-08-03T10:35:00,1596465300,6,0.33,198
12,2020-09-11,7.5,2020-08-03T12:54:00,1596473640,1,0.37,37
13,2020-09-11,7.5,2020-08-03T12:59:00,1596473940,1,0.36,36
14,2020-09-11,7.5,2020-08-03T13:12:00,1596474720,1,0.34,34
15,2020-09-11,7.5,2020-08-03T13:44:00,1596476640,3,0.3166667,95
16,2020-09-11,7.5,2020-08-03T13:55:00,1596477300,2,0.3,60
17,2020-09-11,7.5,2020-08-03T13:56:00,1596477360,1,0.3,30
18,2020-09-11,7.5,2020-08-03T14:44:00,1596480240,10,0.33,330
19,2020-09-11,7.5,2020-08-03T15:11:00,1596481860,3,0.33,99
20,2020-09-11,7.5,2020-08-03T15:34:00,1596483240,1,0.31,31
21,2020-09-11,7.5,2020-08-04T09:42:00,1596548520,1,0.3,30
22,2020-09-11,7.5,2020-08-04T10:27:00,1596551220,2,0.25,50
23,2020-09-11,7.5,2020-08-04T10:30:00,1596551400,1,0.24,24
24,2020-09-11,7.5,2020-08-04T14:38:00,1596566280,10,0.24,240
25,2020-09-11,7.5,2020-08-04T15:49:00,1596570540,1,0.23,23
26,2020-09-11,7.5,2020-08-05T09:46:00,1596635160,1,0.25,25
27,2020-09-11,7.5,2020-08-05T10:11:00,1596636660,2,0.24,48
28,2020-09-11,7.5,2020-08-05T12:03:00,1596643380,10,0.25,250
29,2020-09-11,7.5,2020-08-05T12:57:00,1596646620,5000,0.21,105000
30,2020-09-11,7.5,2020-08-05T13:32:00,1596648720,1,0.25,25
31,2020-09-11,8,2020-08-03T13:45:00,1596476700,2,0.12,24
32,2020-09-11,8,2020-08-05T11:11:00,1596640260,1,0.1,10
33,2020-09-11,8.5,2020-07-31T09:36:00,1596202560,9,0.06,54
34,2020-09-11,8.5,2020-08-03T10:05:00,1596463500,1,0.04,4
35,2020-09-11,8.5,2020-08-03T14:59:00,1596481140,1,0.05,5
36,2020-09-11,8.5,2020-08-03T15:00:00,1596481200,1,0.05,5
