ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotalCost
0,2020-08-07,30,2020-07-14T13:20:00,1594747200,1,33.35,3335
1,2020-08-07,30,2020-07-14T15:05:00,1594753500,1,33.16,3316
2,2020-08-07,30,2020-07-29T10:25:00,1596032700,2,36.1,7220
3,2020-08-07,30,2020-07-29T11:10:00,1596035400,1,36.7,3670
4,2020-08-07,30,2020-07-30T10:25:00,1596119100,1,34.05,3405
5,2020-08-07,30,2020-07-30T11:25:00,1596122700,3,34.25,10275
6,2020-08-07,30,2020-07-30T11:30:00,1596123000,3,34.383333,10315
7,2020-08-07,30,2020-07-30T13:35:00,1596130500,2,35.2,7040
8,2020-08-07,30,2020-07-31T09:35:00,1596202500,4,37.2,14880
9,2020-08-07,30,2020-07-31T14:55:00,1596221700,2,37.55,7510
10,2020-08-07,35,2020-07-20T14:35:00,1595270100,2,28.55,5710
11,2020-08-07,35,2020-07-29T09:35:00,1596029700,3,31.6,9480
12,2020-08-07,35,2020-07-29T10:50:00,1596034200,1,31.35,3135
13,2020-08-07,35,2020-07-29T11:00:00,1596034800,1,31.55,3155
14,2020-08-07,35,2020-07-29T12:30:00,1596040200,1,31.55,3155
15,2020-08-07,35,2020-07-29T14:30:00,1596047400,3,31.65,9495
16,2020-08-07,35,2020-07-30T11:30:00,1596123000,9,29.3,26370
17,2020-08-07,35,2020-07-30T11:40:00,1596123600,2,29.45,5890
18,2020-08-07,35,2020-07-30T11:45:00,1596123900,2,29.5,5900
19,2020-08-07,35,2020-07-30T12:15:00,1596125700,2,30.1,6020
20,2020-08-07,35,2020-07-31T13:20:00,1596216000,4,31.2625,12505
21,2020-08-07,40,2020-07-21T12:25:00,1595348700,1,22.9,2290
22,2020-08-07,40,2020-07-21T13:05:00,1595351100,2,23.15,4630
23,2020-08-07,40,2020-07-30T11:40:00,1596123600,2,24.5,4900
24,2020-08-07,40,2020-07-30T12:35:00,1596126900,1,24.75,2475
25,2020-08-07,40,2020-07-30T12:45:00,1596127500,1,24.95,2495
26,2020-08-07,40,2020-07-30T13:20:00,1596129600,2,25,5000
27,2020-08-07,40,2020-07-31T13:20:00,1596216000,3,26.283333,7885
28,2020-08-07,40,2020-07-31T14:25:00,1596219900,1,26.9,2690
29,2020-08-07,40,2020-07-31T15:00:00,1596222000,4,27.5,11000
30,2020-08-07,47.5,2020-07-30T09:45:00,1596116700,1,17.65,1765
31,2020-08-07,47.5,2020-07-31T13:10:00,1596215400,2,18.85,3770
32,2020-08-07,48,2020-07-14T10:50:00,1594738200,22,15.95,35090
33,2020-08-07,48,2020-07-17T13:55:00,1595008500,10,11.87,11870
34,2020-08-07,48,2020-07-17T14:10:00,1595009400,10,11.74,11740
35,2020-08-07,48,2020-07-31T09:30:00,1596202200,1,18.8,1880
36,2020-08-07,48.5,2020-07-14T10:50:00,1594738200,2,15.55,3110
37,2020-08-07,49,2020-07-06T09:45:00,1594043100,5,12.2,6100
38,2020-08-07,49,2020-07-06T10:55:00,1594047300,5,13.05,6525
39,2020-08-07,49,2020-07-14T09:45:00,1594734300,1,15.49,1549
40,2020-08-07,49,2020-07-22T12:55:00,1595436900,1,15.4,1540
41,2020-08-07,49,2020-07-28T15:40:00,1595965200,1,15.24,1524
42,2020-08-07,49,2020-07-29T10:20:00,1596032400,1,16.95,1695
43,2020-08-07,49,2020-07-30T10:50:00,1596120600,1,14.75,1475
44,2020-08-07,49,2020-07-30T10:55:00,1596120900,1,15.1,1510
45,2020-08-07,49,2020-07-31T09:30:00,1596202200,1,17.3,1730
46,2020-08-07,49,2020-07-31T15:10:00,1596222600,4,18.85,7540
47,2020-08-07,49.5,2020-07-13T10:10:00,1594649400,1,19.75,1975
