ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotalCost
0,2020-08-21,19,2020-07-29T10:00:00,1596031200,1,9,900
1,2020-08-21,24,2020-07-20T11:15:00,1595258100,1,3.22,322
2,2020-08-21,26,2020-07-15T09:30:00,1594819800,2,2.2,440
3,2020-08-21,26,2020-07-20T10:30:00,1595255400,1,2,200
4,2020-08-21,27,2020-07-08T10:15:00,1594217700,5,1.7,850
5,2020-08-21,27,2020-07-08T11:45:00,1594223100,10,1.73,1730
6,2020-08-21,27,2020-07-09T10:30:00,1594305000,1,1.7,170
7,2020-08-21,27,2020-07-09T13:15:00,1594314900,70,1.61,11270
8,2020-08-21,27,2020-07-14T12:15:00,1594743300,82,1.5689024,12865
9,2020-08-21,27,2020-07-14T14:15:00,1594750500,2,1.5,300
10,2020-08-21,27,2020-07-14T14:30:00,1594751400,1,1.55,155
11,2020-08-21,27,2020-07-15T12:45:00,1594831500,100,1.9312,19312
12,2020-08-21,27,2020-07-17T15:00:00,1595012400,1,1.9,190
13,2020-08-21,27,2020-07-20T10:15:00,1595254500,3,1.61,483
14,2020-08-21,27,2020-07-21T12:30:00,1595349000,3,2.2,660
15,2020-08-21,27,2020-07-31T11:00:00,1596207600,1,2.6,260
16,2020-08-21,28,2020-07-14T10:45:00,1594737900,10,1.2,1200
17,2020-08-21,28,2020-07-15T10:15:00,1594822500,5,1.5,750
18,2020-08-21,28,2020-07-16T15:45:00,1594928700,5,1.6,800
19,2020-08-21,28,2020-07-17T14:15:00,1595009700,1,1.3,130
20,2020-08-21,28,2020-07-20T10:30:00,1595255400,3,1.1,330
21,2020-08-21,28,2020-07-20T12:30:00,1595262600,1,1.24,124
22,2020-08-21,28,2020-07-20T13:00:00,1595264400,1,1.28,128
23,2020-08-21,28,2020-07-20T13:30:00,1595266200,3,1.19,357
24,2020-08-21,28,2020-07-20T15:00:00,1595271600,7,1.25,875
25,2020-08-21,28,2020-07-21T10:15:00,1595340900,10,1.45,1450
