ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
0,2020-12-18,24,2020-07-22T10:19:00,1595427540,1,5.7,570
1,2020-12-18,26,2020-07-21T11:22:00,1595344920,1,4.2,420
2,2020-12-18,26,2020-07-29T11:10:00,1596035400,2,5.13,1026
3,2020-12-18,28,2020-07-29T11:10:00,1596035400,2,3.93,786
4,2020-12-18,30,2020-07-29T14:13:00,1596046380,20,3,6000
5,2020-12-18,34,2020-07-31T11:42:00,1596210120,3,1.33,399
6,2020-12-18,35,2020-07-29T14:27:00,1596047220,1,1.45,145
7,2020-12-18,36,2020-07-29T11:52:00,1596037920,8,1,800
8,2020-12-18,40,2020-07-27T13:32:00,1595871120,1,0.2,20
9,2020-12-18,40,2020-07-29T14:20:00,1596046800,1500,0.6,90000
10,2020-12-18,40,2020-07-29T14:21:00,1596046860,1,0.42,42
11,2020-12-18,40,2020-07-29T14:22:00,1596046920,18,0.4566667,822
12,2020-12-18,40,2020-07-29T14:29:00,1596047340,5,0.55,275
13,2020-12-18,40,2020-07-29T14:36:00,1596047760,5,0.55,275
14,2020-12-18,40,2020-07-29T14:38:00,1596047880,1,0.55,55
15,2020-12-18,40,2020-07-29T14:43:00,1596048180,9,0.5,450
16,2020-12-18,40,2020-07-29T14:47:00,1596048420,52,0.5,2600
17,2020-12-18,40,2020-07-29T14:49:00,1596048540,10,0.55,550
18,2020-12-18,40,2020-07-29T15:10:00,1596049800,2,0.5,100
19,2020-12-18,40,2020-07-29T15:20:00,1596050400,68,0.5,3400
20,2020-12-18,40,2020-07-29T15:44:00,1596051840,13,0.51,663
21,2020-12-18,40,2020-07-29T15:49:00,1596052140,5,0.55,275
22,2020-12-18,40,2020-07-30T10:46:00,1596120360,1,0.42,42
23,2020-12-18,40,2020-07-30T13:44:00,1596131040,9,0.39,351
