ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP
0,2020-08-21,15.0,2020-07-20T09:56:00,1595253360,10,6.7
1,2020-08-21,15.0,2020-07-20T10:10:00,1595254200,1,7.1
2,2020-08-21,15.0,2020-07-22T15:47:00,1595447220,1,8.8
3,2020-08-21,15.0,2020-07-23T10:31:00,1595514660,1,10.5
4,2020-08-21,17.5,2020-07-20T09:31:00,1595251860,53,4.501887
5,2020-08-21,17.5,2020-07-20T09:32:00,1595251920,2,4.7
6,2020-08-21,17.5,2020-07-20T09:33:00,1595251980,1,4.8
7,2020-08-21,17.5,2020-07-20T09:36:00,1595252160,248,4.5
8,2020-08-21,17.5,2020-07-20T09:39:00,1595252340,101,4.50198
9,2020-08-21,17.5,2020-07-20T09:40:00,1595252400,100,4.5
10,2020-08-21,17.5,2020-07-20T09:42:00,1595252520,1,4.4
11,2020-08-21,17.5,2020-07-20T10:05:00,1595253900,1,4.9
12,2020-08-21,17.5,2020-07-20T10:44:00,1595256240,1,4.8
13,2020-08-21,17.5,2020-07-20T11:32:00,1595259120,1,4.5
14,2020-08-21,17.5,2020-07-21T09:30:00,1595338200,1,4.4
15,2020-08-21,17.5,2020-07-21T09:32:00,1595338320,1,4.7
16,2020-08-21,17.5,2020-07-21T09:40:00,1595338800,1,5.7
17,2020-08-21,17.5,2020-07-21T09:55:00,1595339700,1,6.1
18,2020-08-21,17.5,2020-07-21T10:07:00,1595340420,3,6.3
19,2020-08-21,17.5,2020-07-21T11:43:00,1595346180,2,5.9
20,2020-08-21,17.5,2020-07-21T11:51:00,1595346660,7,5.7
21,2020-08-21,17.5,2020-07-21T11:56:00,1595346960,1,5.7
22,2020-08-21,17.5,2020-07-22T09:34:00,1595424840,7,5.06
23,2020-08-21,17.5,2020-07-23T14:56:00,1595530560,1,6.6
24,2020-08-21,17.5,2020-07-24T09:47:00,1595598420,1,7.3
25,2020-08-21,17.5,2020-07-28T13:23:00,1595956980,1,9.5
26,2020-08-21,17.5,2020-07-29T12:08:00,1596038880,4,9.235
27,2020-08-21,17.5,2020-07-29T12:19:00,1596039540,3,9.033333
28,2020-08-21,17.5,2020-07-29T12:27:00,1596040020,19,9.12
29,2020-08-21,17.5,2020-07-29T15:07:00,1596049620,1,8.07
30,2020-08-21,17.5,2020-07-29T15:19:00,1596050340,26,8.5
31,2020-08-21,17.5,2020-07-29T15:25:00,1596050700,72,8.4
32,2020-08-21,17.5,2020-07-29T15:26:00,1596050760,63,8.6
33,2020-08-21,17.5,2020-07-29T15:28:00,1596050880,74,8.2
34,2020-08-21,17.5,2020-07-29T15:31:00,1596051060,61,8.108525
35,2020-08-21,17.5,2020-07-29T15:36:00,1596051360,90,8.0
36,2020-08-21,17.5,2020-07-29T15:40:00,1596051600,83,8.0
37,2020-08-21,17.5,2020-07-29T15:42:00,1596051720,57,8.0
38,2020-08-21,20.0,2020-07-20T09:30:00,1595251800,21,2.6
39,2020-08-21,20.0,2020-07-20T09:32:00,1595251920,3,2.9
40,2020-08-21,20.0,2020-07-20T09:33:00,1595251980,2,2.995
41,2020-08-21,20.0,2020-07-20T09:34:00,1595252040,4,3.05
42,2020-08-21,20.0,2020-07-20T09:36:00,1595252160,4,2.7375
43,2020-08-21,20.0,2020-07-20T09:37:00,1595252220,1,2.75
44,2020-08-21,20.0,2020-07-20T09:39:00,1595252340,10,2.65
45,2020-08-21,20.0,2020-07-20T09:41:00,1595252460,1,2.65
46,2020-08-21,20.0,2020-07-20T09:42:00,1595252520,3,2.65
47,2020-08-21,20.0,2020-07-20T09:43:00,1595252580,1,2.65
48,2020-08-21,20.0,2020-07-20T09:45:00,1595252700,2,2.85
49,2020-08-21,20.0,2020-07-20T09:47:00,1595252820,1,2.8
50,2020-08-21,20.0,2020-07-20T09:50:00,1595253000,8,2.82
51,2020-08-21,20.0,2020-07-20T09:55:00,1595253300,1,2.75
52,2020-08-21,20.0,2020-07-20T09:58:00,1595253480,1,2.95
53,2020-08-21,20.0,2020-07-20T10:01:00,1595253660,2,3.1
54,2020-08-21,20.0,2020-07-20T10:03:00,1595253780,1,3.2
55,2020-08-21,20.0,2020-07-20T10:13:00,1595254380,105,3.7
56,2020-08-21,20.0,2020-07-20T10:14:00,1595254440,2,3.75
57,2020-08-21,20.0,2020-07-20T10:16:00,1595254560,1,3.8
58,2020-08-21,20.0,2020-07-20T10:17:00,1595254620,194,3.7
59,2020-08-21,20.0,2020-07-20T10:20:00,1595254800,1,3.7
60,2020-08-21,20.0,2020-07-20T10:22:00,1595254920,3,3.8
61,2020-08-21,20.0,2020-07-20T10:23:00,1595254980,1,3.6
62,2020-08-21,20.0,2020-07-20T10:25:00,1595255100,1,3.5
63,2020-08-21,20.0,2020-07-20T10:27:00,1595255220,1,3.44
64,2020-08-21,20.0,2020-07-20T10:28:00,1595255280,1,3.7
65,2020-08-21,20.0,2020-07-20T10:29:00,1595255340,50,3.45
66,2020-08-21,20.0,2020-07-20T10:30:00,1595255400,24,3.36
67,2020-08-21,20.0,2020-07-20T10:40:00,1595256000,2,3.2
68,2020-08-21,20.0,2020-07-20T10:45:00,1595256300,3,3.1
69,2020-08-21,20.0,2020-07-20T10:53:00,1595256780,3,2.663333
70,2020-08-21,20.0,2020-07-20T10:57:00,1595257020,2,2.8
71,2020-08-21,20.0,2020-07-20T10:58:00,1595257080,1,2.8
72,2020-08-21,20.0,2020-07-20T11:20:00,1595258400,2,2.7
73,2020-08-21,20.0,2020-07-20T11:21:00,1595258460,1,2.75
74,2020-08-21,20.0,2020-07-20T11:25:00,1595258700,1,2.6
75,2020-08-21,20.0,2020-07-20T11:44:00,1595259840,1,2.55
76,2020-08-21,20.0,2020-07-20T11:48:00,1595260080,1,2.5
77,2020-08-21,20.0,2020-07-20T11:51:00,1595260260,1,2.45
78,2020-08-21,20.0,2020-07-20T11:53:00,1595260380,1,2.53
79,2020-08-21,20.0,2020-07-20T12:03:00,1595260980,2,2.35
80,2020-08-21,20.0,2020-07-20T12:47:00,1595263620,1,2.45
81,2020-08-21,20.0,2020-07-20T13:58:00,1595267880,1,2.32
82,2020-08-21,20.0,2020-07-20T14:22:00,1595269320,2,2.2
83,2020-08-21,20.0,2020-07-20T14:32:00,1595269920,1,2.3
84,2020-08-21,20.0,2020-07-20T15:25:00,1595273100,1,2.4
85,2020-08-21,20.0,2020-07-20T15:56:00,1595274960,1,2.5
86,2020-08-21,20.0,2020-07-20T15:58:00,1595275080,3,2.6
87,2020-08-21,20.0,2020-07-21T09:30:00,1595338200,4,2.5625
88,2020-08-21,20.0,2020-07-21T09:37:00,1595338620,3,3.0
89,2020-08-21,20.0,2020-07-21T09:38:00,1595338680,1,3.2
90,2020-08-21,20.0,2020-07-21T09:43:00,1595338980,2,3.9
91,2020-08-21,20.0,2020-07-21T09:44:00,1595339040,3,4.0
92,2020-08-21,20.0,2020-07-21T09:51:00,1595339460,1,4.0
93,2020-08-21,20.0,2020-07-21T09:56:00,1595339760,1,4.1
94,2020-08-21,20.0,2020-07-21T10:29:00,1595341740,1,4.6
95,2020-08-21,20.0,2020-07-21T10:37:00,1595342220,1,4.5
96,2020-08-21,20.0,2020-07-21T10:53:00,1595343180,100,4.7984
97,2020-08-21,20.0,2020-07-21T11:18:00,1595344680,1,4.4
98,2020-08-21,20.0,2020-07-21T12:06:00,1595347560,1,3.63
99,2020-08-21,20.0,2020-07-21T12:40:00,1595349600,1,3.5
100,2020-08-21,20.0,2020-07-21T13:28:00,1595352480,25,3.7
101,2020-08-21,20.0,2020-07-21T14:48:00,1595357280,2,3.7
102,2020-08-21,20.0,2020-07-21T15:15:00,1595358900,1,4.47
103,2020-08-21,20.0,2020-07-21T15:22:00,1595359320,1,4.2
104,2020-08-21,20.0,2020-07-21T15:38:00,1595360280,1,4.8
105,2020-08-21,20.0,2020-07-22T09:34:00,1595424840,1,3.2
106,2020-08-21,20.0,2020-07-22T09:37:00,1595425020,1,3.1
107,2020-08-21,20.0,2020-07-22T09:43:00,1595425380,1,3.1
108,2020-08-21,20.0,2020-07-22T09:44:00,1595425440,1,3.2
