ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP
0,2021-05-28,390,2021-05-24T10:35:00,1621866900,10,206.03
1,2021-05-28,410,2021-05-24T09:40:00,1621863600,3,171.25
2,2021-05-28,440,2021-05-24T09:40:00,1621863600,5,142.57
3,2021-05-28,440,2021-05-24T11:00:00,1621868400,1,156.05
4,2021-05-28,455,2021-05-24T09:40:00,1621863600,1,127.75
5,2021-05-28,455,2021-05-24T10:20:00,1621866000,1,137.6
6,2021-05-28,480,2021-05-24T09:30:00,1621863000,1,96.6
7,2021-05-28,480,2021-05-24T09:40:00,1621863600,3,103.05
8,2021-05-28,480,2021-05-24T09:50:00,1621864200,1,105.7
9,2021-05-28,480,2021-05-24T10:05:00,1621865100,2,109.3
10,2021-05-28,480,2021-05-24T10:15:00,1621865700,1,114
11,2021-05-28,480,2021-05-24T10:20:00,1621866000,2,112.6
12,2021-05-28,480,2021-05-24T10:25:00,1621866300,1,111.95
13,2021-05-28,480,2021-05-24T10:35:00,1621866900,1,116.3
14,2021-05-28,480,2021-05-24T10:40:00,1621867200,1,119.25
15,2021-05-28,480,2021-05-24T11:00:00,1621868400,2,115.925
16,2021-05-28,505,2021-05-24T09:40:00,1621863600,6,78.475
17,2021-05-28,505,2021-05-24T09:45:00,1621863900,2,77.75
18,2021-05-28,505,2021-05-24T10:20:00,1621866000,1,87.6
19,2021-05-28,505,2021-05-24T10:40:00,1621867200,1,92.9
20,2021-05-28,505,2021-05-24T10:50:00,1621867800,5,91.95
21,2021-05-28,505,2021-05-24T10:55:00,1621868100,8,92.1875
22,2021-05-28,505,2021-05-24T11:10:00,1621869000,2,92.95
23,2021-05-28,505,2021-05-24T11:15:00,1621869300,1,94.85
24,2021-05-28,505,2021-05-24T12:00:00,1621872000,4,95.9
25,2021-05-28,505,2021-05-24T12:05:00,1621872300,4,94.95
26,2021-05-28,505,2021-05-24T12:40:00,1621874400,2,93.45
27,2021-05-28,505,2021-05-24T12:55:00,1621875300,2,94.775
28,2021-05-28,505,2021-05-24T13:00:00,1621875600,1,95.15
29,2021-05-28,505,2021-05-24T13:05:00,1621875900,2,95.65
30,2021-05-28,520,2021-05-24T09:30:00,1621863000,2,61.29
31,2021-05-28,520,2021-05-24T09:40:00,1621863600,11,64.096364
32,2021-05-28,520,2021-05-24T09:45:00,1621863900,1,62.6
33,2021-05-28,520,2021-05-24T09:50:00,1621864200,4,66.515
34,2021-05-28,520,2021-05-24T09:55:00,1621864500,1,68.7
35,2021-05-28,520,2021-05-24T10:00:00,1621864800,5,69.6
36,2021-05-28,520,2021-05-24T10:05:00,1621865100,2,69.675
37,2021-05-28,520,2021-05-24T10:10:00,1621865400,11,71.854545
38,2021-05-28,520,2021-05-24T10:20:00,1621866000,5,73.93
39,2021-05-28,520,2021-05-24T10:25:00,1621866300,2,73
40,2021-05-28,520,2021-05-24T10:30:00,1621866600,5,77
41,2021-05-28,520,2021-05-24T10:35:00,1621866900,2,78.85
42,2021-05-28,520,2021-05-24T10:40:00,1621867200,2,78.95
43,2021-05-28,520,2021-05-24T10:45:00,1621867500,2,78.425
44,2021-05-28,520,2021-05-24T10:55:00,1621868100,3,77.95
45,2021-05-28,520,2021-05-24T11:05:00,1621868700,8,76.13375
46,2021-05-28,520,2021-05-24T11:10:00,1621869000,3,78.916667
47,2021-05-28,520,2021-05-24T11:15:00,1621869300,4,80.0375
48,2021-05-28,520,2021-05-24T11:20:00,1621869600,2,79.8
49,2021-05-28,520,2021-05-24T11:25:00,1621869900,3,79.233333
50,2021-05-28,520,2021-05-24T11:30:00,1621870200,7,80.478571
51,2021-05-28,520,2021-05-24T11:35:00,1621870500,2,80.35
52,2021-05-28,520,2021-05-24T11:45:00,1621871100,2,80.775
53,2021-05-28,520,2021-05-24T11:50:00,1621871400,5,80.56
54,2021-05-28,520,2021-05-24T12:00:00,1621872000,3,81.576667
55,2021-05-28,520,2021-05-24T12:05:00,1621872300,2,79.85
56,2021-05-28,520,2021-05-24T12:10:00,1621872600,14,78.672143
57,2021-05-28,520,2021-05-24T12:35:00,1621874100,1,80
58,2021-05-28,520,2021-05-24T12:40:00,1621874400,1,79.8
59,2021-05-28,520,2021-05-24T13:00:00,1621875600,1,81.15
60,2021-05-28,520,2021-05-24T13:15:00,1621876500,1,82
61,2021-05-28,530,2021-05-24T09:30:00,1621863000,14,51.325
62,2021-05-28,530,2021-05-24T09:35:00,1621863300,16,52.08125
63,2021-05-28,530,2021-05-24T09:40:00,1621863600,14,54.742143
64,2021-05-28,530,2021-05-24T09:45:00,1621863900,6,54.058333
65,2021-05-28,530,2021-05-24T09:50:00,1621864200,20,56.4785
66,2021-05-28,530,2021-05-24T09:55:00,1621864500,4,59.3375
67,2021-05-28,530,2021-05-24T10:00:00,1621864800,4,59.725
68,2021-05-28,530,2021-05-24T10:05:00,1621865100,3,60.676667
69,2021-05-28,530,2021-05-24T10:10:00,1621865400,9,62.931111
70,2021-05-28,530,2021-05-24T10:20:00,1621866000,8,63.965
71,2021-05-28,530,2021-05-24T10:25:00,1621866300,4,63.4175
72,2021-05-28,530,2021-05-24T10:30:00,1621866600,2,67.05
73,2021-05-28,530,2021-05-24T10:35:00,1621866900,4,69.325
74,2021-05-28,530,2021-05-24T10:40:00,1621867200,1,70.6
75,2021-05-28,530,2021-05-24T10:45:00,1621867500,2,68.46
76,2021-05-28,530,2021-05-24T10:50:00,1621867800,14,67.697143
77,2021-05-28,530,2021-05-24T10:55:00,1621868100,15,68.281333
78,2021-05-28,530,2021-05-24T11:00:00,1621868400,3,67.016667
79,2021-05-28,530,2021-05-24T11:05:00,1621868700,9,67.152222
80,2021-05-28,530,2021-05-24T11:10:00,1621869000,13,69.162308
81,2021-05-28,530,2021-05-24T11:15:00,1621869300,28,70.680357
82,2021-05-28,530,2021-05-24T11:20:00,1621869600,2,70.45
83,2021-05-28,530,2021-05-24T11:25:00,1621869900,8,68.70625
84,2021-05-28,530,2021-05-24T11:30:00,1621870200,10,70.56
85,2021-05-28,530,2021-05-24T11:35:00,1621870500,12,70.566667
86,2021-05-28,530,2021-05-24T11:40:00,1621870800,2,69.925
87,2021-05-28,530,2021-05-24T11:45:00,1621871100,4,70.62
88,2021-05-28,530,2021-05-24T11:50:00,1621871400,4,70.5825
89,2021-05-28,530,2021-05-24T11:55:00,1621871700,1,70.5
90,2021-05-28,530,2021-05-24T12:00:00,1621872000,7,71.828571
91,2021-05-28,530,2021-05-24T12:10:00,1621872600,1,69
92,2021-05-28,530,2021-05-24T12:15:00,1621872900,2,69.275
93,2021-05-28,530,2021-05-24T12:45:00,1621874700,8,69.1
94,2021-05-28,530,2021-05-24T13:00:00,1621875600,3,71.45
95,2021-05-28,530,2021-05-24T13:05:00,1621875900,3,71.44
96,2021-05-28,530,2021-05-24T13:10:00,1621876200,4,72.175
97,2021-05-28,530,2021-05-24T13:20:00,1621876800,2,74.475
98,2021-05-28,530,2021-05-24T13:25:00,1621877100,1,74.61
99,2021-05-28,535,2021-05-24T09:30:00,1621863000,2,47.125
100,2021-05-28,535,2021-05-24T09:35:00,1621863300,7,48.121429
101,2021-05-28,535,2021-05-24T09:40:00,1621863600,3,50.233333
102,2021-05-28,535,2021-05-24T09:45:00,1621863900,1,50.1
103,2021-05-28,535,2021-05-24T09:50:00,1621864200,2,52.55
104,2021-05-28,535,2021-05-24T09:55:00,1621864500,11,53.477273
105,2021-05-28,535,2021-05-24T10:05:00,1621865100,4,56.1425
106,2021-05-28,535,2021-05-24T10:10:00,1621865400,8,58.44375
107,2021-05-28,535,2021-05-24T10:20:00,1621866000,2,59.275
108,2021-05-28,535,2021-05-24T10:35:00,1621866900,1,63.5
109,2021-05-28,535,2021-05-24T10:55:00,1621868100,2,63.65
110,2021-05-28,535,2021-05-24T11:05:00,1621868700,2,61.95
111,2021-05-28,535,2021-05-24T11:10:00,1621869000,5,64.872
112,2021-05-28,535,2021-05-24T11:15:00,1621869300,4,66.15
113,2021-05-28,535,2021-05-24T11:20:00,1621869600,7,65.3
114,2021-05-28,535,2021-05-24T11:25:00,1621869900,7,64.154286
115,2021-05-28,535,2021-05-24T11:30:00,1621870200,1,64.05
116,2021-05-28,535,2021-05-24T11:35:00,1621870500,2,66.35
117,2021-05-28,535,2021-05-24T11:45:00,1621871100,5,66.05
118,2021-05-28,535,2021-05-24T11:50:00,1621871400,2,66.55
119,2021-05-28,535,2021-05-24T11:55:00,1621871700,1,65.4
120,2021-05-28,535,2021-05-24T12:00:00,1621872000,2,67.02
121,2021-05-28,535,2021-05-24T12:15:00,1621872900,1,65.35
122,2021-05-28,535,2021-05-24T12:40:00,1621874400,1,64.08
123,2021-05-28,535,2021-05-24T12:55:00,1621875300,4,65.45
124,2021-05-28,535,2021-05-24T13:05:00,1621875900,2,66.7
125,2021-05-28,540,2021-05-24T09:35:00,1621863300,30,42.328
126,2021-05-28,540,2021-05-24T09:40:00,1621863600,15,45.946667
127,2021-05-28,540,2021-05-24T09:45:00,1621863900,20,44.88
128,2021-05-28,540,2021-05-24T09:50:00,1621864200,8,47.5625
129,2021-05-28,540,2021-05-24T09:55:00,1621864500,4,48.8625
130,2021-05-28,540,2021-05-24T10:05:00,1621865100,35,51.452286
131,2021-05-28,540,2021-05-24T10:10:00,1621865400,2,53.675
132,2021-05-28,540,2021-05-24T10:20:00,1621866000,6,54.45
133,2021-05-28,540,2021-05-24T10:25:00,1621866300,2,55.135
134,2021-05-28,540,2021-05-24T10:30:00,1621866600,3,57.5
135,2021-05-28,540,2021-05-24T10:35:00,1621866900,1,60.77
136,2021-05-28,540,2021-05-24T10:40:00,1621867200,5,60.94
137,2021-05-28,540,2021-05-24T10:45:00,1621867500,4,59.2
138,2021-05-28,540,2021-05-24T10:50:00,1621867800,1,59
139,2021-05-28,540,2021-05-24T10:55:00,1621868100,5,59.11
140,2021-05-28,540,2021-05-24T11:00:00,1621868400,2,57.35
141,2021-05-28,540,2021-05-24T11:10:00,1621869000,4,59.92
142,2021-05-28,540,2021-05-24T11:15:00,1621869300,2,61.005
143,2021-05-28,540,2021-05-24T11:20:00,1621869600,3,60.1
144,2021-05-28,540,2021-05-24T11:25:00,1621869900,6,59.43
145,2021-05-28,540,2021-05-24T11:30:00,1621870200,3,61.113333
146,2021-05-28,540,2021-05-24T11:35:00,1621870500,8,61.66875
147,2021-05-28,540,2021-05-24T11:40:00,1621870800,4,60.4
148,2021-05-28,540,2021-05-24T11:45:00,1621871100,200,61.5
149,2021-05-28,540,2021-05-24T11:50:00,1621871400,1,60.95
150,2021-05-28,540,2021-05-24T12:00:00,1621872000,2,62.21
151,2021-05-28,540,2021-05-24T12:15:00,1621872900,3,60.4
152,2021-05-28,540,2021-05-24T13:05:00,1621875900,1,61.83
153,2021-05-28,540,2021-05-24T13:20:00,1621876800,1,65.1
154,2021-05-28,545,2021-05-24T09:30:00,1621863000,2,37.4
155,2021-05-28,545,2021-05-24T09:35:00,1621863300,1,40.75
156,2021-05-28,545,2021-05-24T09:40:00,1621863600,6,41.216667
157,2021-05-28,545,2021-05-24T09:45:00,1621863900,1,39.75
158,2021-05-28,545,2021-05-24T09:50:00,1621864200,3,42.35
159,2021-05-28,545,2021-05-24T09:55:00,1621864500,29,44.322759
160,2021-05-28,545,2021-05-24T10:05:00,1621865100,3,46.823333
161,2021-05-28,545,2021-05-24T10:10:00,1621865400,1,47.49
162,2021-05-28,545,2021-05-24T10:15:00,1621865700,4,50.465
163,2021-05-28,545,2021-05-24T10:20:00,1621866000,4,49.8
164,2021-05-28,545,2021-05-24T10:30:00,1621866600,9,50.6
165,2021-05-28,545,2021-05-24T10:35:00,1621866900,1,54.65
166,2021-05-28,545,2021-05-24T10:40:00,1621867200,8,55.775
167,2021-05-28,545,2021-05-24T10:45:00,1621867500,15,55.008
168,2021-05-28,545,2021-05-24T10:50:00,1621867800,3,53.89
169,2021-05-28,545,2021-05-24T10:55:00,1621868100,1,52.2
170,2021-05-28,545,2021-05-24T11:00:00,1621868400,3,52.9
171,2021-05-28,545,2021-05-24T11:05:00,1621868700,10,53.137
172,2021-05-28,545,2021-05-24T11:10:00,1621869000,2,55.6
173,2021-05-28,545,2021-05-24T11:15:00,1621869300,3,56.37
174,2021-05-28,545,2021-05-24T11:20:00,1621869600,9,54.983333
175,2021-05-28,545,2021-05-24T11:25:00,1621869900,13,54.797692
176,2021-05-28,545,2021-05-24T11:55:00,1621871700,1,55.9
177,2021-05-28,545,2021-05-24T12:30:00,1621873800,1,55.5
178,2021-05-28,545,2021-05-24T12:40:00,1621874400,2,54.65
179,2021-05-28,545,2021-05-24T12:55:00,1621875300,3,55.95
180,2021-05-28,545,2021-05-24T13:10:00,1621876200,1,58.15
181,2021-05-28,545,2021-05-24T13:15:00,1621876500,1,60
182,2021-05-28,550,2021-05-24T09:30:00,1621863000,42,33.254286
183,2021-05-28,550,2021-05-24T09:35:00,1621863300,87,35.159195
184,2021-05-28,550,2021-05-24T09:40:00,1621863600,111,37.701532
185,2021-05-28,550,2021-05-24T09:45:00,1621863900,50,36.7368
186,2021-05-28,550,2021-05-24T09:50:00,1621864200,371,38.849299
187,2021-05-28,550,2021-05-24T09:55:00,1621864500,249,40.248715
188,2021-05-28,550,2021-05-24T10:00:00,1621864800,436,42.322844
189,2021-05-28,550,2021-05-24T10:05:00,1621865100,510,42.328471
190,2021-05-28,550,2021-05-24T10:10:00,1621865400,1260,44.848032
191,2021-05-28,550,2021-05-24T10:15:00,1621865700,1490,45.905074
192,2021-05-28,550,2021-05-24T10:20:00,1621866000,1510,45.173947
193,2021-05-28,550,2021-05-24T10:25:00,1621866300,713,45.610701
194,2021-05-28,550,2021-05-24T10:30:00,1621866600,702,47.42859
195,2021-05-28,550,2021-05-24T10:35:00,1621866900,937,50.214728
196,2021-05-28,550,2021-05-24T10:40:00,1621867200,1515,51.060356
197,2021-05-28,550,2021-05-24T10:45:00,1621867500,1474,49.950699
