ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP
0,2020-12-31,20.0,2020-12-03T09:45:00,1607006700,5,0.03
1,2020-12-31,20.0,2020-12-03T13:45:00,1607021100,3,0.01
2,2020-12-31,20.0,2020-12-03T14:00:00,1607022000,10,0.01
3,2020-12-31,20.0,2020-12-07T10:30:00,1607355000,3,0.01
4,2020-12-31,20.0,2020-12-10T09:30:00,1607610600,100,0.01
5,2020-12-31,20.0,2020-12-14T09:30:00,1607956200,12,0.01
6,2020-12-31,20.0,2020-12-15T09:30:00,1608042600,1,0.01
7,2020-12-31,20.0,2020-12-15T10:30:00,1608046200,1,0.01
8,2020-12-31,20.0,2020-12-17T09:30:00,1608215400,5,0.01
9,2020-12-31,20.0,2020-12-18T09:45:00,1608302700,101,0.01
10,2020-12-31,20.0,2020-12-18T11:00:00,1608307200,10,0.02
11,2020-12-31,20.0,2020-12-22T13:30:00,1608661800,5,0.01
12,2020-12-31,20.0,2020-12-23T11:30:00,1608741000,20,0.01
13,2020-12-31,20.0,2020-12-24T12:15:00,1608830100,1,0.01
14,2020-12-31,40.0,2020-12-08T10:15:00,1607440500,4,0.01
15,2020-12-31,40.0,2020-12-08T15:15:00,1607458500,95,0.01
16,2020-12-31,40.0,2020-12-08T15:30:00,1607459400,40,0.01
17,2020-12-31,40.0,2020-12-09T11:00:00,1607529600,1,0.01
18,2020-12-31,40.0,2020-12-10T11:00:00,1607616000,1,0.01
19,2020-12-31,40.0,2020-12-11T15:30:00,1607718600,5,0.01
20,2020-12-31,40.0,2020-12-14T09:30:00,1607956200,10,0.01
21,2020-12-31,40.0,2020-12-14T11:00:00,1607961600,5,0.01
22,2020-12-31,40.0,2020-12-18T09:45:00,1608302700,53,0.01
23,2020-12-31,40.0,2020-12-18T10:00:00,1608303600,7,0.01
24,2020-12-31,40.0,2020-12-18T11:45:00,1608309900,1,0.01
25,2020-12-31,40.0,2020-12-18T14:15:00,1608318900,66,0.01
26,2020-12-31,40.0,2020-12-18T15:00:00,1608321600,135,0.01
27,2020-12-31,40.0,2020-12-18T15:15:00,1608322500,10,0.01
28,2020-12-31,40.0,2020-12-18T15:30:00,1608323400,4,0.01
29,2020-12-31,40.0,2020-12-18T15:45:00,1608324300,49,0.01
30,2020-12-31,40.0,2020-12-21T11:45:00,1608569100,1,0.01
31,2020-12-31,40.0,2020-12-22T11:30:00,1608654600,22,0.01
32,2020-12-31,40.0,2020-12-31T10:45:00,1609429500,10,0.01
33,2020-12-31,40.0,2020-12-31T14:45:00,1609443900,30,0.01
34,2020-12-31,60.0,2020-12-01T14:30:00,1606851000,45,0.03
35,2020-12-31,60.0,2020-12-02T13:30:00,1606933800,1,0.03
36,2020-12-31,60.0,2020-12-02T14:15:00,1606936500,1,0.01
37,2020-12-31,60.0,2020-12-03T09:30:00,1607005800,10,0.03
38,2020-12-31,60.0,2020-12-03T13:00:00,1607018400,1,0.03
39,2020-12-31,60.0,2020-12-07T11:15:00,1607357700,10,0.02
40,2020-12-31,60.0,2020-12-07T12:00:00,1607360400,30,0.01666667
