ID,ExpiryDate,Strike,DateAndTime,Timestamp,Volume,VWAP,IntervalTotal
0,2020-09-18,18,2020-07-24T13:38:00,1595612280,5,0.08,40
1,2020-09-18,18,2020-07-24T14:12:00,1595614320,1,0.08,8
2,2020-09-18,18,2020-07-27T09:30:00,1595856600,1,0.07,7
3,2020-09-18,18,2020-07-27T14:07:00,1595873220,5,0.07,35
4,2020-09-18,18,2020-07-28T10:39:00,1595947140,1,0.06,6
5,2020-09-18,18,2020-07-28T11:44:00,1595951040,1,0.06,6
6,2020-09-18,18,2020-07-28T13:09:00,1595956140,5,0.06,30
7,2020-09-18,18,2020-07-30T09:30:00,1596115800,4,0.0775,31
8,2020-09-18,20,2020-07-20T15:27:00,1595273220,2,0.08,16
9,2020-09-18,20,2020-07-20T15:47:00,1595274420,20,0.08,160
10,2020-09-18,20,2020-07-21T09:34:00,1595338440,10,0.08,80
11,2020-09-18,20,2020-07-21T10:16:00,1595340960,1,0.07,7
12,2020-09-18,20,2020-07-21T10:25:00,1595341500,2,0.09,18
13,2020-09-18,20,2020-07-21T10:31:00,1595341860,2,0.09,18
14,2020-09-18,20,2020-07-21T15:52:00,1595361120,10,0.09,90
15,2020-09-18,20,2020-07-22T13:28:00,1595438880,5,0.13,65
16,2020-09-18,20,2020-07-22T13:56:00,1595440560,1,0.13,13
17,2020-09-18,20,2020-07-22T14:50:00,1595443800,10,0.15,150
18,2020-09-18,20,2020-07-22T15:00:00,1595444400,1,0.12,12
19,2020-09-18,20,2020-07-22T15:32:00,1595446320,2,0.18,36
20,2020-09-18,20,2020-07-23T12:35:00,1595522100,4,0.11,44
21,2020-09-18,20,2020-07-24T09:50:00,1595598600,50,0.21,1050
22,2020-09-18,20,2020-07-24T09:55:00,1595598900,1,0.2,20
23,2020-09-18,20,2020-07-24T09:56:00,1595598960,1,0.19,19
24,2020-09-18,20,2020-07-24T10:10:00,1595599800,5,0.18,90
25,2020-09-18,20,2020-07-24T10:13:00,1595599980,2,0.2,40
26,2020-09-18,20,2020-07-24T10:41:00,1595601660,2,0.17,34
27,2020-09-18,20,2020-07-24T13:22:00,1595611320,2,0.195,39
28,2020-09-18,20,2020-07-24T14:13:00,1595614380,1,0.18,18
29,2020-09-18,20,2020-07-24T14:15:00,1595614500,1,0.18,18
30,2020-09-18,20,2020-07-27T09:40:00,1595857200,1,0.18,18
31,2020-09-18,20,2020-07-27T09:55:00,1595858100,2,0.17,34
32,2020-09-18,20,2020-07-27T10:00:00,1595858400,2,0.18,36
33,2020-09-18,20,2020-07-27T10:01:00,1595858460,2,0.18,36
34,2020-09-18,20,2020-07-27T11:27:00,1595863620,2,0.19,38
35,2020-09-18,20,2020-07-27T11:29:00,1595863740,2,0.18,36
36,2020-09-18,20,2020-07-27T12:02:00,1595865720,40,0.16375,655
37,2020-09-18,20,2020-07-27T12:33:00,1595867580,10,0.15,150
38,2020-09-18,20,2020-07-27T12:34:00,1595867640,1,0.16,16
39,2020-09-18,20,2020-07-27T12:35:00,1595867700,1,0.15,15
40,2020-09-18,20,2020-07-27T12:45:00,1595868300,20,0.16,320
41,2020-09-18,20,2020-07-27T14:43:00,1595875380,1,0.18,18
42,2020-09-18,20,2020-07-27T15:26:00,1595877960,5,0.15,75
43,2020-09-18,20,2020-07-28T09:33:00,1595943180,3,0.16,48
44,2020-09-18,20,2020-07-28T10:00:00,1595944800,6,0.1733333,104
45,2020-09-18,20,2020-07-28T10:05:00,1595945100,30,0.19,570
46,2020-09-18,20,2020-07-28T11:46:00,1595951160,1,0.19,19
47,2020-09-18,20,2020-07-28T13:48:00,1595958480,20,0.17,340
48,2020-09-18,20,2020-07-28T13:59:00,1595959140,1,0.16,16
49,2020-09-18,20,2020-07-28T15:01:00,1595962860,2,0.17,34
50,2020-09-18,20,2020-07-28T15:55:00,1595966100,2,0.19,38
51,2020-09-18,20,2020-07-29T10:39:00,1596033540,3,0.17,51
52,2020-09-18,20,2020-07-29T12:10:00,1596039000,10,0.2,200
53,2020-09-18,20,2020-07-29T14:37:00,1596047820,10,0.19,190
54,2020-09-18,20,2020-07-29T14:51:00,1596048660,1,0.2,20
55,2020-09-18,20,2020-07-30T10:00:00,1596117600,1,0.2,20
56,2020-09-18,20,2020-07-30T10:11:00,1596118260,2,0.21,42
57,2020-09-18,20,2020-07-30T10:18:00,1596118680,20,0.21,420
58,2020-09-18,20,2020-07-30T10:21:00,1596118860,1,0.21,21
59,2020-09-18,20,2020-07-30T10:22:00,1596118920,19,0.21,399
60,2020-09-18,20,2020-07-30T11:37:00,1596123420,1,0.2,20
61,2020-09-18,20,2020-07-30T14:08:00,1596132480,2,0.16,32
62,2020-09-18,20,2020-07-31T10:02:00,1596204120,1,0.16,16
63,2020-09-18,20,2020-07-31T11:26:00,1596209160,1,0.13,13
64,2020-09-18,20,2020-07-31T15:59:00,1596225540,1,0.13,13
65,2020-09-18,23,2020-07-20T11:46:00,1595259960,7,0.24,168
66,2020-09-18,23,2020-07-20T14:21:00,1595269260,1,0.3,30
67,2020-09-18,23,2020-07-20T14:34:00,1595270040,2,0.29,58
68,2020-09-18,23,2020-07-21T10:04:00,1595340240,4,0.27,108
69,2020-09-18,23,2020-07-21T11:17:00,1595344620,1,0.27,27
70,2020-09-18,23,2020-07-21T11:21:00,1595344860,2,0.265,53
71,2020-09-18,23,2020-07-22T11:38:00,1595432280,1,0.38,38
